Country,Currency,Date,Exchange_Rate,Base_Currency,Timestamp
ABW,AWG,202511,0.558659217877095,USD,2025-12-10T14:41:16.251465
AIA,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
ALB,ALL,202511,0.01195600191296031,USD,2025-12-10T14:41:16.251465
AND,EUR,202511,1.15602,USD,2025-12-10T14:41:16.251465
ARE,AED,202511,0.2722940776038121,USD,2025-12-10T14:41:16.251465
ARM,AMD,202511,0.002617903844391795,USD,2025-12-10T14:41:16.251465
ATG,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
AUS,AUD,202511,0.650680000000002,USD,2025-12-10T14:41:16.251465
BEN,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
BFA,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
BGD,BDT,202511,0.008175344795166736,USD,2025-12-10T14:41:16.251465
BGR,BGN,202511,0.591051480583959,USD,2025-12-10T14:41:16.251465
BHR,BHD,202511,2.659574468085106,USD,2025-12-10T14:41:16.251465
BHS,BSD,202511,1.0,USD,2025-12-10T14:41:16.251465
BLZ,BZD,202511,0.5,USD,2025-12-10T14:41:16.251465
BMU,BMD,202511,1.0,USD,2025-12-10T14:41:16.251465
BRA,BRL,202511,0.1872570586055459,USD,2025-12-10T14:41:16.251465
BRB,BBD,202511,0.5,USD,2025-12-10T14:41:16.251465
BRN,BND,202511,0.7669463180185517,USD,2025-12-10T14:41:16.251465
BTN,BTN,202511,0.01125801504011557,USD,2025-12-10T14:41:16.251465
BWA,BWP,202511,0.0750322638734656,USD,2025-12-10T14:41:16.251465
CAF,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
CAN,CAD,202511,0.7111869710546903,USD,2025-12-10T14:41:16.251465
CHE,CHF,202511,1.243508155950552,USD,2025-12-10T14:41:16.251465
CHL,CLP,202511,0.001068000797440595,USD,2025-12-10T14:41:16.251465
CHN,CNY,202511,0.1406154425441396,USD,2025-12-10T14:41:16.251465
CIV,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
CMR,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
COD,CDF,202511,0.0004565547908361279,USD,2025-12-10T14:41:16.251465
COG,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
COM,KMF,202511,0.002349788172090549,USD,2025-12-10T14:41:16.251465
CRI,CRC,202511,0.002001569230276537,USD,2025-12-10T14:41:16.251465
CUW,XCG,202511,0.558659217877095,USD,2025-12-10T14:41:16.251465
CWX,,202511,0.558659217877095,USD,2025-12-10T14:41:16.251465
CYM,KYD,202511,1.2000048000192,USD,2025-12-10T14:41:16.251465
CZE,CZK,202511,0.04768489819274236,USD,2025-12-10T14:41:16.251465
DJI,DJF,202511,0.005626797058310498,USD,2025-12-10T14:41:16.251465
DMA,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
DNK,DKK,202511,0.1547961257625644,USD,2025-12-10T14:41:16.251465
DZA,DZD,202511,0.007668729299223848,USD,2025-12-10T14:41:16.251465
ECU,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
ERI,ERN,202511,0.06633499170812604,USD,2025-12-10T14:41:16.251465
FJI,FJD,202511,0.4337265787647467,USD,2025-12-10T14:41:16.251465
FSM,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
G163,EUR,202511,1.15602,USD,2025-12-10T14:41:16.251465
G309,,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
G758,,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
G759,,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
GAB,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
GBR,GBP,202511,1.311616666666667,USD,2025-12-10T14:41:16.251465
GEO,GEL,202511,0.3693307726399764,USD,2025-12-10T14:41:16.251465
GGY,GBP,202511,1.311616666666667,USD,2025-12-10T14:41:16.251465
GIB,GIP,202511,1.311616666666667,USD,2025-12-10T14:41:16.251465
GNB,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
GNQ,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
GRD,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
HKG,HKD,202511,0.1285677552069941,USD,2025-12-10T14:41:16.251465
HND,HNL,202511,0.03804827565214744,USD,2025-12-10T14:41:16.251465
HUN,HUF,202511,0.003005801196308876,USD,2025-12-10T14:41:16.251465
IDN,IDR,202511,5.986930441043246e-05,USD,2025-12-10T14:41:16.251465
IMN,GBP,202511,1.311616666666667,USD,2025-12-10T14:41:16.251465
IND,INR,202511,0.01125801504011557,USD,2025-12-10T14:41:16.251465
ISL,ISK,202511,0.007873519778281683,USD,2025-12-10T14:41:16.251465
ISR,ILS,202511,0.3071530525593077,USD,2025-12-10T14:41:16.251465
JEY,GBP,202511,1.311616666666667,USD,2025-12-10T14:41:16.251465
JOR,JOD,202511,1.408450704225352,USD,2025-12-10T14:41:16.251465
JPN,JPY,202511,0.006451430806388529,USD,2025-12-10T14:41:16.251465
KAZ,KZT,202511,0.001913070094888277,USD,2025-12-10T14:41:16.251465
KHM,KHR,202511,0.0002490877058984922,USD,2025-12-10T14:41:16.251465
KIR,AUD,202511,0.650680000000002,USD,2025-12-10T14:41:16.251465
KNA,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
KOR,KRW,202511,0.0006862920782830496,USD,2025-12-10T14:41:16.251465
KOS,EUR,202511,1.15602,USD,2025-12-10T14:41:16.251465
KWT,KWD,202511,3.268080656230596,USD,2025-12-10T14:41:16.251465
LCA,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
LIE,CHF,202511,1.243508155950552,USD,2025-12-10T14:41:16.251465
MAC,MOP,202511,0.1248427761288128,USD,2025-12-10T14:41:16.251465
MEX,MXN,202511,0.0542225837061136,USD,2025-12-10T14:41:16.251465
MLI,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
MNE,EUR,202511,1.15602,USD,2025-12-10T14:41:16.251465
MNG,MNT,202511,0.0002799818136257505,USD,2025-12-10T14:41:16.251465
MSR,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
MUS,MUR,202511,0.02164441260310857,USD,2025-12-10T14:41:16.251465
MYS,MYR,202511,0.2406246616215696,USD,2025-12-10T14:41:16.251465
NAM,NAD,202511,0.05804032641879578,USD,2025-12-10T14:41:16.251465
NCL,XPF,202511,0.009687451029357664,USD,2025-12-10T14:41:16.251465
NER,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
NOR,NOK,202511,0.09844303651599672,USD,2025-12-10T14:41:16.251465
NRU,AUD,202511,0.650680000000002,USD,2025-12-10T14:41:16.251465
NZL,NZD,202511,0.5645,USD,2025-12-10T14:41:16.251465
OMN,OMR,202511,2.600780234070221,USD,2025-12-10T14:41:16.251465
PAN,PAB,202511,1.0,USD,2025-12-10T14:41:16.251465
PER,PEN,202511,0.2967750445162566,USD,2025-12-10T14:41:16.251465
PHL,PHP,202511,0.0169740297345062,USD,2025-12-10T14:41:16.251465
PLW,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
POL,PLN,202511,0.2725909772386534,USD,2025-12-10T14:41:16.251465
PYF,XPF,202511,0.009687451029357664,USD,2025-12-10T14:41:16.251465
QAT,QAR,202511,0.2747252747252747,USD,2025-12-10T14:41:16.251465
SAU,SAR,202511,0.2666666666666667,USD,2025-12-10T14:41:16.251465
SEN,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
SGP,SGD,202511,0.7674008134448623,USD,2025-12-10T14:41:16.251465
SLV,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
SMR,EUR,202511,1.15602,USD,2025-12-10T14:41:16.251465
SRB,RSD,202511,0.009859054950428672,USD,2025-12-10T14:41:16.251465
SWE,SEK,202511,0.1051728752844269,USD,2025-12-10T14:41:16.251465
SXM,XCG,202511,0.558659217877095,USD,2025-12-10T14:41:16.251465
TCD,XAF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
TGO,XOF,202511,0.001762341129067912,USD,2025-12-10T14:41:16.251465
THA,THB,202511,0.03084526302441231,USD,2025-12-10T14:41:16.251465
TLS,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
TTO,TTD,202511,0.1482795645465306,USD,2025-12-10T14:41:16.251465
TUV,AUD,202511,0.650680000000002,USD,2025-12-10T14:41:16.251465
UGA,UGX,202511,0.0002797093260683498,USD,2025-12-10T14:41:16.251465
UKR,UAH,202511,0.02375071252137564,USD,2025-12-10T14:41:16.251465
URY,UYU,202511,0.025148445686343,USD,2025-12-10T14:41:16.251465
USA,USD,202511,1.0,USD,2025-12-10T14:41:16.251465
UZB,UZS,202511,8.353263523996295e-05,USD,2025-12-10T14:41:16.251465
VCT,XCD,202511,0.3703703703703704,USD,2025-12-10T14:41:16.251465
